URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
1,https://insights.blackcoffer.com/how-is-login-logout-time-tracking-for-employees-in-office-done-by-ai/,0.08,0.037,0.367518226,0.0003241,20.05555556,0.290858726,8.138565713,20.05555556,105,361,2.224376731,77,7.180055402
2,https://insights.blackcoffer.com/how-does-ai-help-to-monitor-retail-shelf-watches/,0.147,0.039,0.58064204,0.000568807,16.35,0.354740061,6.681896024,16.35,116,327,2.314984709,51,7.220183486
3,https://insights.blackcoffer.com/ai-and-its-impact-on-the-fashion-industry/,0.14,0.019,0.761001503,0.000165281,24.66666667,0.398128898,10.02591823,24.66666667,383,962,2.418918919,179,7.612266112
4,https://insights.blackcoffer.com/how-do-deep-learning-models-predict-old-and-new-drugs-that-are-successfully-treated-in-healthcare/,0.095,0,0.999989474,0.000437788,15.5,0.3640553,6.34562212,15.5,79,217,2.35483871,30,7.30875576
5,https://insights.blackcoffer.com/how-artificial-intelligence-can-boost-your-productivity-level/,0.142,0.027,0.680469346,0.00019161,13.56923077,0.401360544,5.588236525,13.56923077,354,882,2.476190476,163,7.563492063
6,https://insights.blackcoffer.com/how-are-genetic-sequencing-maps-affected-by-deep-learning-and-ai/,0.103,0.018,0.702473533,0.000203361,16.08108108,0.426890756,6.603188735,16.08108108,254,595,2.423529412,80,7.337815126
7,https://insights.blackcoffer.com/how-is-ai-used-to-solve-traffic-management/,0.154,0.051,0.502436573,0.000249695,16.75510204,0.37637028,6.852588928,16.75510204,309,821,2.389768575,89,7.375152253
8,https://insights.blackcoffer.com/benefits-of-big-data-in-different-fields/,0.089,0.011,0.7799922,7.35E-05,22.29508197,0.382352941,9.070973963,22.29508197,520,1360,2.3875,220,7.297058824
9,https://insights.blackcoffer.com/how-big-data-will-impact-the-future-of-business/,0.116,0.025,0.645385494,0.000141994,18.73584906,0.394763343,7.65224496,18.73584906,392,993,2.4612286,210,7.52366566
10,https://insights.blackcoffer.com/how-will-ai-make-decisions-in-tomorrows-wars/,0.122,0.189,-0.215433391,0.001143382,10.46153846,0.360294118,4.328733032,10.46153846,98,272,2.327205882,42,7.113970588
11,https://insights.blackcoffer.com/which-one-is-better-ai-or-big-data/,0.139,0.018,0.770695728,0.000481595,14.17391304,0.386503067,5.824166444,14.17391304,126,326,2.610429448,53,7.622699387
12,https://insights.blackcoffer.com/how-robots-can-help-in-e-learning-platforms/,0.135,0.059,0.391750558,0.000248082,11.67164179,0.350383632,4.808810169,11.67164179,274,782,2.356777494,98,7.492327366
13,https://insights.blackcoffer.com/how-does-big-data-help-in-finance-and-the-growth-of-large-firms/,0.139,0.039,0.561794597,0.00016888,13.86842105,0.379506641,5.699171078,13.86842105,400,1054,2.285578748,197,6.880455408
14,https://insights.blackcoffer.com/future-of-work-robot-ai-and-automation/,0.163,0.025,0.734038649,0.000706767,11.56521739,0.45112782,4.806538084,11.56521739,120,266,2.578947368,31,7.785714286
